ID,Date,Time,Location,Lat,Lng,Region,Vehicle_Type,Weather,Road_Type,Light_Condition,Severity,Cause,Injuries,Fatalities,Driver_Age,Age_Group
20250660,2025-06-14,01:23,"Marine Drive, Mumbai",18.957888,72.830274,West,Truck,Rainy,City Road,Darkness (Unlit),Minor,Signal violation,3,0,35,26-40
20250661,2025-12-04,18:57,"FC Road, Pune",18.532528,73.834716,West,Car,Clear,City Road,Twilight,Fatal,Bad lighting,8,1,32,26-40
20250662,2025-10-08,22:29,"Marine Drive, Kochi",9.987892,76.289352,South,Motorcycle,Clear,State Highway,Darkness (Lit),Fatal,Tire burst,12,1,37,26-40
20250663,2025-03-24,20:20,"S.G. Highway, Ahmedabad",23.030489,72.563011,West,Motorcycle,Clear,Rural Road,Darkness (Lit),Minor,Distracted driving,3,0,36,26-40
20250664,2025-04-25,20:49,"Bistupur, Jamshedpur",22.79154,86.198197,East,SUV,Cloudy,City Road,Darkness (Lit),Minor,Using phone while driving,3,0,47,41-60
20250665,2025-04-30,09:07,"Varkala Road, Kerala",8.72093,76.704374,South,Auto-rickshaw,Heatwave,City Road,Daylight,Minor,Wrong-side driving,1,0,56,41-60
20250666,2025-10-23,17:19,"Anna Salai, Chennai",13.063102,80.240296,South,Motorcycle,Clear,Rural Road,Daylight,Minor,Distracted driving,4,0,18,<26
20250667,2025-10-30,09:25,"MG Road, Bangalore",12.972749,77.593418,South,Car,Stormy,Rural Road,Daylight,Minor,Sleep deprivation,1,0,32,26-40
20250668,2025-12-07,18:52,"Gomti Nagar, Lucknow",26.85273,80.989004,North,Motorcycle,Foggy,State Highway,Twilight,Major,Lane changing without signal,4,0,23,<26
20250669,2025-12-27,21:03,"Paltan Bazaar, Guwahati",26.171581,91.758503,East,Bicycle,Cloudy,State Highway,Darkness (Unlit),Minor,Tire burst,3,0,36,26-40
20250670,2025-12-04,19:10,"Connaught Place, Delhi",28.632938,77.211822,North,Truck,Windy,Rural Road,Twilight,Major,Brake failure,5,0,27,26-40
20250671,2025-04-10,16:35,"Indiranagar 100ft Road, Bangalore",12.95982,77.635903,South,Auto-rickshaw,Heatwave,National Highway,Daylight,Major,Tire burst,3,0,25,<26
20250672,2025-03-16,09:51,"Palm Beach Road, Navi Mumbai",19.00847,73.022937,West,Motorcycle,Cloudy,National Highway,Daylight,Minor,Tailgating,3,0,29,26-40
20250673,2025-08-07,16:10,"Anna Salai, Chennai",13.048281,80.263825,South,Car,Clear,Residential Street,Daylight,Minor,Overloading,1,0,29,26-40
20250674,2025-01-18,08:25,"Race Course, Coimbatore",11.010881,76.958685,South,Car,Foggy,Rural Road,Daylight,Minor,Signal violation,3,0,29,26-40
20250675,2025-05-21,16:28,"Zion Hill, Kodaikanal",10.223448,77.477699,South,Car,Clear,Residential Street,Daylight,Fatal,Pedestrian error,10,5,19,<26
20250676,2025-02-18,17:11,"S.G. Highway, Ahmedabad",23.022026,72.575738,West,Motorcycle,Clear,National Highway,Daylight,Minor,Over-speeding,4,0,27,26-40
20250677,2025-04-05,13:44,"Connaught Place, Delhi",28.628314,77.226224,North,Auto-rickshaw,Clear,National Highway,Daylight,Major,Lane changing without signal,2,0,42,41-60
20250678,2025-03-02,08:38,"Gomti Nagar, Lucknow",26.857098,80.996042,North,Auto-rickshaw,Clear,National Highway,Daylight,Fatal,Over-speeding,9,3,54,41-60
20250679,2025-01-18,07:07,"Civil Lines, Nagpur",21.139757,79.102188,Central,Car,Windy,City Road,Daylight,Major,Pedestrian error,5,0,23,<26
20250680,2025-12-22,11:58,"Main Guard Gate, Trichy",10.831585,78.694918,South,Truck,Foggy,National Highway,Daylight,Fatal,Over-speeding,4,2,43,41-60
20250681,2025-11-05,15:37,"Main Guard Gate, Trichy",10.821722,78.701473,South,Motorcycle,Clear,State Highway,Daylight,Fatal,Distracted driving,8,1,37,26-40
20250682,2025-12-22,08:13,"Park Street, Kolkata",22.556887,88.344282,East,Truck,Rainy,City Road,Daylight,Minor,Bad lighting,3,0,31,26-40
20250683,2025-03-20,11:50,"T. Nagar, Chennai",13.038168,80.248021,South,Motorcycle,Clear,City Road,Daylight,Minor,Using phone while driving,2,0,21,<26
20250684,2025-06-20,17:09,"Chandni Chowk, Delhi",28.653209,77.217938,North,Tractor,Rainy,Residential Street,Daylight,Major,Wrong-side driving,5,0,29,26-40
20250685,2025-09-08,07:22,"Gomti Nagar, Lucknow",26.868865,80.98786,North,Motorcycle,Clear,National Highway,Daylight,Minor,Drunk driving,1,0,18,<26
20250686,2025-09-30,15:56,"Indiranagar 100ft Road, Bangalore",12.971206,77.630027,South,Car,Rainy,National Highway,Daylight,Major,Over-speeding,5,0,54,41-60
20250687,2025-11-24,21:45,"Victoria Memorial Area, Kolkata",22.537273,88.345861,East,Auto-rickshaw,Clear,Residential Street,Darkness (Unlit),Major,Bad lighting,7,0,32,26-40
20250688,2025-04-28,11:54,"Banjara Hills, Hyderabad",17.425624,78.432195,South,Motorcycle,Clear,National Highway,Daylight,Minor,Vehicle malfunction,1,0,18,<26
20250689,2025-10-22,05:47,"Varkala Road, Kerala",8.734925,76.716486,South,Van,Windy,City Road,Twilight,Minor,Bad lighting,1,0,23,<26
20250690,2025-12-13,19:44,"Outer Ring Road, Bangalore",12.932364,77.627989,South,SUV,Foggy,City Road,Twilight,Minor,Using phone while driving,1,0,39,26-40
20250691,2025-12-05,20:52,"Sayajigunj, Vadodara",22.312722,73.167471,West,Motorcycle,Clear,Residential Street,Darkness (Unlit),Major,Pedestrian error,6,0,18,<26
20250692,2025-08-05,14:10,"Zion Hill, Kodaikanal",10.252192,77.484339,South,Truck,Cloudy,Rural Road,Daylight,Major,Wrong-side driving,8,0,35,26-40
20250693,2025-04-20,00:40,"MVP Colony, Visakhapatnam",17.709009,83.341892,South,Scooter,Heatwave,City Road,Darkness (Unlit),Minor,Animal crossing,0,0,19,<26
20250694,2025-06-18,10:06,"MG Road, Bangalore",12.967092,77.601273,South,Motorcycle,Clear,City Road,Daylight,Major,Vehicle malfunction,3,0,34,26-40
20250695,2025-09-07,00:49,"Hitech City, Hyderabad",17.436004,78.376421,South,Motorcycle,Rainy,Rural Road,Darkness (Lit),Major,Drunk driving,8,0,20,<26
20250696,2025-07-03,19:45,"Sabarmati Road, Ahmedabad",23.04662,72.573747,West,Car,Rainy,State Highway,Twilight,Major,Over-speeding,8,1,48,41-60
20250697,2025-05-17,08:31,"Arera Colony, Bhopal",23.233067,77.439852,Central,Car,Stormy,Rural Road,Daylight,Minor,Brake failure,3,0,58,41-60
20250698,2025-01-11,08:22,"Civil Lines, Nagpur",21.131209,79.093733,Central,Car,Cloudy,City Road,Daylight,Minor,Over-speeding,2,0,60,41-60
20250699,2025-05-25,14:48,"T. Nagar, Chennai",13.034232,80.223675,South,Motorcycle,Clear,Rural Road,Daylight,Minor,Tailgating,1,0,21,<26
20250700,2025-08-31,16:51,"FC Road, Pune",18.531534,73.84097,West,Car,Windy,City Road,Daylight,Major,Distracted driving,3,0,27,26-40
20250701,2025-05-21,23:59,"Electronic City, Bangalore",12.837689,77.680494,South,Car,Clear,City Road,Darkness (Lit),Major,Drunk driving,1,0,31,26-40
20250702,2025-05-18,12:22,Rishikesh-Haridwar Highway,30.064342,78.285695,North,Car,Clear,National Highway,Daylight,Fatal,Vehicle malfunction,8,3,29,26-40
20250703,2025-11-07,07:11,"Howrah Bridge Road, Kolkata",22.59855,88.342707,East,Motorcycle,Clear,National Highway,Daylight,Minor,Distracted driving,2,0,18,<26
20250704,2025-10-29,15:23,"Gateway Area, Mumbai",18.926507,72.826001,West,Motorcycle,Cloudy,National Highway,Daylight,Fatal,Vehicle malfunction,10,6,37,26-40
20250705,2025-04-08,09:28,"FC Road, Pune",18.512746,73.842297,West,Motorcycle,Cloudy,Residential Street,Daylight,Minor,Vehicle malfunction,1,0,31,26-40
20250706,2025-10-09,17:57,"Rajpath, Delhi",28.625303,77.221304,North,Tractor,Cloudy,City Road,Daylight,Minor,Wrong-side driving,0,0,40,26-40
20250707,2025-09-05,14:59,"Civil Lines, Nagpur",21.154527,79.078208,Central,Motorcycle,Windy,State Highway,Daylight,Fatal,Brake failure,12,2,25,<26
20250708,2025-12-17,15:32,"Park Street, Kolkata",22.542966,88.358722,East,Motorcycle,Cloudy,City Road,Daylight,Major,Tailgating,1,0,18,<26
20250709,2025-04-22,15:00,"Civil Lines, Nagpur",21.144463,79.094433,Central,Bus,Clear,State Highway,Daylight,Major,Vehicle malfunction,3,0,28,26-40
20250710,2025-11-24,08:56,"Charminar Area, Hyderabad",17.374417,78.467813,South,Auto-rickshaw,Rainy,State Highway,Daylight,Major,Lane changing without signal,1,0,35,26-40
20250711,2025-11-20,15:23,"Mall Road, Shimla",31.092297,77.179564,North,Bus,Foggy,City Road,Daylight,Major,Lane changing without signal,1,0,49,41-60
20250712,2025-05-24,08:01,"M.G. Road, Indore",22.72432,75.868739,Central,Scooter,Clear,City Road,Daylight,Minor,Brake failure,2,0,26,26-40
20250713,2025-11-17,16:35,"Hazratganj, Lucknow",26.856205,80.937819,North,Motorcycle,Foggy,Rural Road,Daylight,Major,Brake failure,4,0,21,<26
20250714,2025-09-03,07:11,"Raja Park, Jaipur",26.887151,75.845271,North,Car,Rainy,City Road,Daylight,Fatal,Lane changing without signal,3,2,40,26-40
20250715,2025-07-21,16:12,"Park Street, Kolkata",22.542306,88.348992,East,Motorcycle,Rainy,City Road,Daylight,Major,Bad lighting,1,0,24,<26
20250716,2025-01-07,17:41,"Marine Drive, Mumbai",18.932765,72.831304,West,Motorcycle,Cloudy,City Road,Daylight,Minor,Over-speeding,0,0,27,26-40
20250717,2025-10-05,17:21,Rishikesh-Haridwar Highway,30.054349,78.280277,North,Auto-rickshaw,Cloudy,Rural Road,Daylight,Major,Lane changing without signal,3,0,28,26-40
20250718,2025-10-06,08:52,"Marine Drive, Mumbai",18.931884,72.817102,West,Motorcycle,Cloudy,National Highway,Daylight,Fatal,Overloading,7,4,24,<26
20250719,2025-03-17,12:18,"Chandni Chowk, Delhi",28.672651,77.235533,North,Truck,Rainy,Residential Street,Daylight,Major,Sleep deprivation,2,0,47,41-60
20250720,2025-02-09,16:07,"Zion Hill, Kodaikanal",10.2508,77.501796,South,SUV,Clear,National Highway,Daylight,Major,Wrong-side driving,7,0,35,26-40
20250721,2025-12-08,16:39,"Varkala Road, Kerala",8.728752,76.704818,South,Scooter,Foggy,Residential Street,Daylight,Minor,Signal violation,1,0,26,26-40
20250722,2025-03-17,13:46,"Boring Road, Patna",25.621439,85.103395,East,Motorcycle,Rainy,National Highway,Daylight,Fatal,Drunk driving,7,3,21,<26
20250723,2025-06-13,14:30,"Gomti Nagar, Lucknow",26.880885,80.997452,North,Truck,Clear,Residential Street,Daylight,Minor,Pedestrian error,4,0,23,<26
20250724,2025-09-30,15:14,"S.G. Highway, Ahmedabad",23.010009,72.577848,West,Bus,Foggy,Rural Road,Daylight,Minor,Pedestrian error,1,0,38,26-40
20250725,2025-07-05,00:54,"Connaught Place, Delhi",28.627372,77.215918,North,Car,Clear,Residential Street,Darkness (Lit),Fatal,Drunk driving,9,4,39,26-40
20250726,2025-01-29,17:07,"Gomti Nagar, Lucknow",26.872819,80.990724,North,Car,Windy,City Road,Daylight,Minor,Wrong-side driving,0,0,60,41-60
20250727,2025-09-02,18:55,"Marine Drive, Kochi",9.961906,76.271657,South,Car,Clear,City Road,Twilight,Major,Road rage,3,0,47,41-60
20250728,2025-06-03,14:46,"Paltan Bazaar, Guwahati",26.180319,91.756345,East,Car,Clear,National Highway,Daylight,Major,Distracted driving,3,0,49,41-60
20250729,2025-01-06,13:27,"Bandra West, Mumbai",19.073047,72.828129,West,Auto-rickshaw,Clear,City Road,Daylight,Minor,Lane changing without signal,3,0,46,41-60
20250730,2025-02-17,15:08,"Palm Beach Road, Navi Mumbai",19.008956,73.021971,West,Car,Clear,City Road,Daylight,Minor,Using phone while driving,0,0,34,26-40
20250731,2025-12-21,14:20,"Kothrud, Pune",18.511657,73.817518,West,Car,Cloudy,City Road,Daylight,Major,Vehicle malfunction,2,0,19,<26
20250732,2025-01-15,09:10,"M.G. Road, Indore",22.707794,75.849057,Central,Car,Cloudy,National Highway,Daylight,Minor,Over-speeding,1,0,23,<26
20250733,2025-05-18,07:36,"MVP Colony, Visakhapatnam",17.698546,83.343795,South,Motorcycle,Clear,National Highway,Daylight,Minor,Drunk driving,2,0,35,26-40
20250734,2025-06-11,17:46,"Main Guard Gate, Trichy",10.842616,78.70068,South,Car,Rainy,City Road,Daylight,Minor,Wrong-side driving,1,0,34,26-40
20250735,2025-01-13,15:24,"Boring Road, Patna",25.614591,85.125561,East,Motorcycle,Clear,City Road,Daylight,Minor,Signal violation,1,0,36,26-40
20250736,2025-12-01,08:45,"Marine Drive, Kochi",9.990802,76.275749,South,Lorry,Rainy,City Road,Daylight,Minor,Overloading,1,0,23,<26
20250737,2025-06-23,10:39,"T. Nagar, Chennai",13.028,80.240483,South,Truck,Rainy,Residential Street,Daylight,Minor,Signal violation,4,0,28,26-40
20250738,2025-01-08,08:55,"Fatehpur Sikri Road, Agra",27.092514,77.687768,North,Auto-rickshaw,Clear,National Highway,Daylight,Minor,Drunk driving,1,0,27,26-40
20250739,2025-02-04,10:23,"Main Guard Gate, Trichy",10.816077,78.684976,South,Auto-rickshaw,Clear,City Road,Daylight,Minor,Tailgating,3,0,34,26-40
20250740,2025-03-05,21:31,"Marine Drive, Mumbai",18.939704,72.816799,West,Motorcycle,Clear,City Road,Darkness (Lit),Minor,Bad lighting,2,0,22,<26
20250741,2025-07-11,07:26,"Civil Lines, Nagpur",21.144303,79.099522,Central,Lorry,Clear,Residential Street,Daylight,Minor,Drunk driving,1,0,33,26-40
20250742,2025-03-21,18:18,"S.G. Highway, Ahmedabad",23.012246,72.568378,West,Car,Clear,City Road,Twilight,Major,Signal violation,8,0,23,<26
20250743,2025-08-27,08:11,"Chenab Bridge Approach, J&K",33.13825,74.847086,North,Motorcycle,Rainy,City Road,Daylight,Major,Signal violation,8,0,25,<26
20250744,2025-08-21,03:09,"Boring Road, Patna",25.601365,85.106404,East,Bus,Windy,Rural Road,Darkness (Lit),Minor,Tire burst,1,0,32,26-40
20250745,2025-01-28,09:01,"Rajpath, Delhi",28.62021,77.202195,North,Truck,Clear,National Highway,Daylight,Major,Signal violation,8,1,20,<26
20250746,2025-05-13,08:03,"Banjara Hills, Hyderabad",17.424049,78.432856,South,Tractor,Clear,National Highway,Daylight,Major,Tire burst,3,1,35,26-40
20250747,2025-08-12,12:44,"MVP Colony, Visakhapatnam",17.708874,83.314498,South,Auto-rickshaw,Rainy,National Highway,Daylight,Major,Poor road condition,6,0,46,41-60
20250748,2025-06-12,01:57,"Raja Park, Jaipur",26.909615,75.834383,North,Motorcycle,Foggy,City Road,Darkness (Lit),Minor,Over-speeding,1,0,18,<26
20250749,2025-11-21,14:37,"FC Road, Pune",18.511595,73.848271,West,Car,Foggy,Rural Road,Daylight,Major,Brake failure,4,1,53,41-60
20250750,2025-01-08,12:23,"Connaught Place, Delhi",28.625558,77.210909,North,Auto-rickshaw,Clear,City Road,Daylight,Minor,Animal crossing,2,0,35,26-40
20250751,2025-06-30,18:27,"Sayajigunj, Vadodara",22.321422,73.176275,West,Scooter,Rainy,City Road,Twilight,Minor,Using phone while driving,4,0,19,<26
20250752,2025-12-04,16:27,"Bibvewadi, Pune",18.472397,73.871711,West,Scooter,Cloudy,Residential Street,Daylight,Major,Wrong-side driving,1,0,28,26-40
20250753,2025-07-30,07:47,"Rajpath, Delhi",28.618415,77.210442,North,Truck,Rainy,Rural Road,Daylight,Minor,Lane changing without signal,1,0,40,26-40
20250754,2025-07-15,08:54,"Boring Road, Patna",25.625517,85.110518,East,Auto-rickshaw,Rainy,Residential Street,Daylight,Fatal,Brake failure,6,2,51,41-60
20250755,2025-09-17,10:56,"Hitech City, Hyderabad",17.436435,78.387455,South,Auto-rickshaw,Rainy,State Highway,Daylight,Major,Overloading,1,0,43,41-60
20250756,2025-09-23,18:38,"Mall Road, Shimla",31.099853,77.187175,North,Lorry,Rainy,Residential Street,Twilight,Minor,Vehicle malfunction,3,0,18,<26
20250757,2025-01-27,17:36,"T. Nagar, Chennai",13.030666,80.238188,South,Tractor,Clear,Residential Street,Daylight,Major,Bad lighting,4,0,42,41-60
20250758,2025-11-20,15:25,"Rajpath, Delhi",28.61852,77.201907,North,Bus,Cloudy,State Highway,Daylight,Major,Over-speeding,3,0,24,<26
20250759,2025-12-29,15:05,"MVP Colony, Visakhapatnam",17.708672,83.33647,South,Car,Clear,City Road,Daylight,Major,Tire burst,4,0,29,26-40
20250760,2025-07-13,17:42,"Anna Salai, Chennai",13.053649,80.262649,South,Truck,Rainy,City Road,Daylight,Major,Wrong-side driving,2,0,36,26-40
20250761,2025-05-25,09:11,"Banjara Hills, Hyderabad",17.399521,78.445339,South,SUV,Clear,National Highway,Daylight,Major,Tailgating,8,1,54,41-60
20250762,2025-07-12,19:40,"Sector 17, Chandigarh",30.750756,76.773094,North,Car,Rainy,City Road,Twilight,Major,Drunk driving,6,1,46,41-60
20250763,2025-09-05,23:38,"M.G. Road, Indore",22.70475,75.858352,Central,Motorcycle,Clear,City Road,Darkness (Lit),Major,Bad lighting,6,0,27,26-40
20250764,2025-04-23,07:44,"NH-48 Highway, Delhi-Mumbai",22.358028,72.933847,West,Scooter,Clear,City Road,Daylight,Minor,Lane changing without signal,3,0,32,26-40
20250765,2025-08-12,14:25,"Sabarmati Road, Ahmedabad",23.050803,72.571136,West,Bicycle,Rainy,Residential Street,Daylight,Minor,Wrong-side driving,4,0,29,26-40
20250766,2025-09-07,14:28,"T. Nagar, Chennai",13.04469,80.22725,South,Motorcycle,Clear,City Road,Daylight,Minor,Vehicle malfunction,2,0,39,26-40
20250767,2025-11-20,18:28,"Marine Drive, Kochi",9.987683,76.289443,South,Motorcycle,Clear,City Road,Twilight,Minor,Bad lighting,0,0,36,26-40
20250768,2025-08-08,17:22,"Gateway Area, Mumbai",18.909179,72.839409,West,Motorcycle,Foggy,National Highway,Daylight,Fatal,Drunk driving,6,2,35,26-40
20250769,2025-08-27,15:20,"Chandni Chowk, Delhi",28.661849,77.226568,North,Truck,Rainy,National Highway,Daylight,Major,Over-speeding,2,0,26,26-40
20250770,2025-08-11,11:20,"Sabarmati Road, Ahmedabad",23.049214,72.589282,West,Motorcycle,Windy,City Road,Daylight,Minor,Wrong-side driving,4,0,18,<26
20250771,2025-06-17,15:15,"MVP Colony, Visakhapatnam",17.697838,83.314735,South,Auto-rickshaw,Rainy,National Highway,Daylight,Fatal,Wrong-side driving,7,1,59,41-60
20250772,2025-01-21,11:01,"Park Street, Kolkata",22.552097,88.361096,East,Motorcycle,Clear,State Highway,Daylight,Fatal,Drunk driving,6,4,18,<26
20250773,2025-11-10,04:19,"Gomti Nagar, Lucknow",26.881219,80.9942,North,Truck,Cloudy,Rural Road,Darkness (Unlit),Fatal,Drunk driving,1,2,46,41-60
20250774,2025-12-19,17:14,"Marine Drive, Kochi",9.963641,76.282423,South,Auto-rickshaw,Cloudy,City Road,Daylight,Minor,Over-speeding,0,0,44,41-60
20250775,2025-05-13,19:02,"Outer Ring Road, Bangalore",12.92164,77.618629,South,Motorcycle,Cloudy,Rural Road,Twilight,Major,Brake failure,3,1,22,<26
20250776,2025-06-13,18:48,"Golden Temple Road, Amritsar",31.631634,74.890475,North,Motorcycle,Rainy,National Highway,Twilight,Major,Wrong-side driving,8,1,23,<26
20250777,2025-06-14,17:30,"Chandni Chowk, Delhi",28.647754,77.237986,North,Auto-rickshaw,Rainy,Rural Road,Daylight,Minor,Pedestrian error,1,0,36,26-40
20250778,2025-09-11,06:00,"Hitech City, Hyderabad",17.434984,78.386855,South,Car,Clear,State Highway,Daylight,Major,Distracted driving,6,0,33,26-40
20250779,2025-06-09,16:41,"Electronic City, Bangalore",12.850334,77.66517,South,Car,Stormy,City Road,Daylight,Minor,Animal crossing,4,0,41,41-60
20250780,2025-02-05,10:10,"Bandra West, Mumbai",19.053814,72.840595,West,Truck,Clear,Rural Road,Daylight,Major,Wrong-side driving,8,0,49,41-60
20250781,2025-01-15,14:33,"Sector 17, Chandigarh",30.737059,76.77125,North,Bus,Foggy,State Highway,Daylight,Major,Drunk driving,6,0,37,26-40
20250782,2025-11-29,13:59,"T. Nagar, Chennai",13.032618,80.224783,South,Car,Clear,City Road,Daylight,Minor,Bad lighting,0,0,43,41-60
20250783,2025-11-27,09:07,"Chandni Chowk, Delhi",28.648456,77.241852,North,Bus,Clear,City Road,Daylight,Major,Tailgating,7,0,53,41-60
20250784,2025-12-21,10:13,"Marine Drive, Kochi",9.984572,76.271129,South,Motorcycle,Clear,City Road,Daylight,Major,Wrong-side driving,8,0,33,26-40
20250785,2025-12-19,09:20,"Bandra West, Mumbai",19.046684,72.82012,West,SUV,Clear,National Highway,Daylight,Major,Wrong-side driving,3,1,43,41-60
20250786,2025-01-05,15:30,"Golden Temple Road, Amritsar",31.60503,74.887697,North,Motorcycle,Clear,National Highway,Daylight,Major,Poor road condition,4,0,22,<26
20250787,2025-03-27,17:49,"FC Road, Pune",18.5135,73.850017,West,Motorcycle,Clear,City Road,Daylight,Major,Using phone while driving,8,0,18,<26
20250788,2025-06-04,17:57,"Sayajigunj, Vadodara",22.315436,73.191909,West,SUV,Rainy,National Highway,Daylight,Minor,Poor road condition,0,0,43,41-60
20250789,2025-03-17,21:54,"Chandni Chowk, Delhi",28.664781,77.219249,North,Motorcycle,Clear,City Road,Darkness (Unlit),Major,Tire burst,2,0,36,26-40
20250790,2025-05-21,19:43,"M.G. Road, Indore",22.731577,75.856178,Central,Scooter,Clear,State Highway,Twilight,Minor,Poor road condition,3,0,22,<26
20250791,2025-10-29,13:17,"Fatehpur Sikri Road, Agra",27.081817,77.676086,North,Auto-rickshaw,Cloudy,National Highway,Daylight,Major,Tailgating,6,0,51,41-60
20250792,2025-12-17,08:43,"Electronic City, Bangalore",12.840596,77.670693,South,Bus,Clear,City Road,Daylight,Minor,Signal violation,0,0,35,26-40
20250793,2025-08-21,04:18,"Golden Temple Road, Amritsar",31.608703,74.876151,North,Car,Rainy,Rural Road,Darkness (Lit),Major,Distracted driving,3,1,36,26-40
20250794,2025-04-11,14:58,"Banjara Hills, Hyderabad",17.405924,78.420964,South,Scooter,Clear,City Road,Daylight,Minor,Brake failure,0,0,21,<26
20250795,2025-05-14,19:38,"Fatehpur Sikri Road, Agra",27.081299,77.671774,North,Van,Windy,National Highway,Twilight,Major,Pedestrian error,7,0,36,26-40
20250796,2025-10-18,20:29,"M.G. Road, Indore",22.710101,75.866172,Central,Auto-rickshaw,Clear,City Road,Darkness (Lit),Minor,Bad lighting,2,0,42,41-60
20250797,2025-08-28,12:29,"Salt Lake City, Kolkata",22.600643,88.416639,East,SUV,Clear,Rural Road,Daylight,Minor,Signal violation,4,0,55,41-60
20250798,2025-10-25,14:08,"Vartak Nagar, Thane",19.219598,72.980067,West,Motorcycle,Foggy,City Road,Daylight,Minor,Brake failure,3,0,18,<26
20250799,2025-09-23,14:03,"Banjara Hills, Hyderabad",17.398841,78.444897,South,Truck,Rainy,National Highway,Daylight,Major,Over-speeding,6,1,49,41-60
20250800,2025-09-19,17:03,"Gomti Nagar, Lucknow",26.857852,80.983725,North,Auto-rickshaw,Rainy,State Highway,Daylight,Minor,Poor road condition,2,0,48,41-60
20250801,2025-11-18,11:59,"MG Road, Bangalore",12.980769,77.59831,South,Car,Clear,National Highway,Daylight,Major,Overloading,4,0,18,<26
20250802,2025-08-16,13:59,"Outer Ring Road, Bangalore",12.929198,77.624012,South,Car,Rainy,Rural Road,Daylight,Minor,Tailgating,3,0,41,41-60
20250803,2025-12-03,16:27,"Electronic City, Bangalore",12.843986,77.667544,South,Auto-rickshaw,Foggy,National Highway,Daylight,Major,Vehicle malfunction,8,0,36,26-40
20250804,2025-10-29,14:42,"Charminar Area, Hyderabad",17.358336,78.48063,South,Car,Clear,City Road,Daylight,Major,Over-speeding,2,0,43,41-60
20250805,2025-01-06,15:02,"Kothrud, Pune",18.511913,73.812416,West,Motorcycle,Cloudy,City Road,Daylight,Minor,Distracted driving,3,0,22,<26
20250806,2025-07-03,14:55,"Civil Lines, Nagpur",21.137123,79.100277,Central,Bus,Rainy,National Highway,Daylight,Major,Over-speeding,6,0,71,60+
20250807,2025-03-13,10:48,"Hitech City, Hyderabad",17.437588,78.374118,South,Scooter,Clear,City Road,Daylight,Minor,Sleep deprivation,1,0,18,<26
20250808,2025-12-04,15:08,"Gomti Nagar, Lucknow",26.861422,81.008056,North,Motorcycle,Foggy,City Road,Daylight,Fatal,Drunk driving,12,2,18,<26
20250809,2025-04-29,07:06,"Race Course, Coimbatore",11.029827,76.955092,South,Auto-rickshaw,Heatwave,Rural Road,Daylight,Major,Pedestrian error,3,0,18,<26
20250810,2025-02-02,06:16,"Outer Ring Road, Bangalore",12.921323,77.631998,South,Motorcycle,Clear,City Road,Daylight,Minor,Over-speeding,2,0,40,26-40
20250811,2025-02-25,16:24,"NH-48 Highway, Delhi-Mumbai",22.379666,72.936613,West,Car,Clear,City Road,Daylight,Major,Lane changing without signal,3,0,18,<26
20250812,2025-02-14,15:40,"Hitech City, Hyderabad",17.431386,78.363297,South,Car,Clear,Rural Road,Daylight,Minor,Using phone while driving,2,0,34,26-40
20250813,2025-04-05,16:58,"Chenab Bridge Approach, J&K",33.154267,74.833185,North,Auto-rickshaw,Clear,City Road,Daylight,Minor,Tire burst,4,0,51,41-60
20250814,2025-08-13,14:24,"Park Street, Kolkata",22.555075,88.340016,East,Bus,Clear,City Road,Daylight,Minor,Drunk driving,2,0,20,<26
20250815,2025-01-12,09:18,"Howrah Bridge Road, Kolkata",22.581813,88.342537,East,Van,Clear,State Highway,Daylight,Fatal,Wrong-side driving,9,5,25,<26
20250816,2025-01-30,15:57,"Outer Ring Road, Bangalore",12.937683,77.637608,South,Lorry,Foggy,National Highway,Daylight,Fatal,Signal violation,1,2,37,26-40
20250817,2025-04-15,15:46,"Paltan Bazaar, Guwahati",26.194725,91.7569,East,Van,Clear,National Highway,Daylight,Minor,Tire burst,0,0,35,26-40
20250818,2025-08-02,15:39,"Banjara Hills, Hyderabad",17.423826,78.434363,South,Car,Rainy,National Highway,Daylight,Fatal,Wrong-side driving,6,4,41,41-60
20250819,2025-09-02,11:54,"Chandni Chowk, Delhi",28.645643,77.216661,North,Auto-rickshaw,Cloudy,City Road,Daylight,Minor,Brake failure,0,0,34,26-40
20250820,2025-07-13,16:27,"Gomti Nagar, Lucknow",26.864505,80.983533,North,Motorcycle,Cloudy,Residential Street,Daylight,Minor,Tire burst,2,0,25,<26
20250821,2025-08-12,19:15,"Chandni Chowk, Delhi",28.64776,77.215301,North,Motorcycle,Foggy,Rural Road,Twilight,Minor,Using phone while driving,0,0,30,26-40
20250822,2025-01-30,06:08,"Sector 17, Chandigarh",30.731918,76.769012,North,Motorcycle,Foggy,State Highway,Daylight,Major,Over-speeding,8,0,21,<26
20250823,2025-12-03,06:16,"M.G. Road, Indore",22.710776,75.863858,Central,Auto-rickshaw,Cloudy,Rural Road,Daylight,Minor,Animal crossing,2,0,39,26-40
20250824,2025-12-01,09:57,"Charminar Area, Hyderabad",17.356166,78.475943,South,Car,Clear,City Road,Daylight,Major,Sleep deprivation,4,1,28,26-40
20250825,2025-09-24,09:47,"Arera Colony, Bhopal",23.224523,77.430572,Central,Auto-rickshaw,Clear,Residential Street,Daylight,Minor,Animal crossing,3,0,40,26-40
20250826,2025-01-18,10:37,"S.G. Highway, Ahmedabad",23.016512,72.585353,West,Car,Cloudy,City Road,Daylight,Minor,Over-speeding,3,0,37,26-40
